発言ID,開催日,回次,発言順,発言者表記,発言者検索キー,発言本文,議事録URL
4056,2014-11-04,第27回,6,神野部会長,神野,どうもありがとうございました。 議題１と議題２にかかわって関連する資料を要領よく御説明いただきました。それぞれ検討に当たっての論点を御指摘いただいておりますが、冒頭申し上げましたように、議題１、議題２についてまとめて御議論を頂戴したいと思っておりますので、御質問、御意見ございましたら議題１に関連してでも、議題２に関連してでも構いませんので、頂戴できればと思います。いかがでございましょうか。どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4057,2014-11-04,第27回,7,山口委員,山口,ありがとうございます。今、非常に詳しい説明をしていただきありがとうございました。 第３号被保険者の中身というのはいろいろあって、パートで働いておられる人もおられますし、純粋に無業の専業主婦の方もおられるということであります。したがいまして、これまでの議論にもありましたように、まず被用者年金の適用拡大をまず進めることが第一義的に必要なことであろうかと思っておりまして、短時間労働者の２号適用を進めていくことが、まず第一のステップとして必要だと思います。ただ、これを進めていきましても本当の意味の専業主婦の問題が残るわけでありますので、私といたしましては、将来的な話ですけれども、どこかのタイミングで今回つくっていただきました資料３の給付調整方式に移行していくことが妥当ではないかと考えております。 先ほどの説明にもありましたように、今日の基礎年金ができましたのは1985年だったと思いますけれども、それ以前の厚生年金では配偶者の加給制度等があって、それとの整合性ということもありまして、現在の第３号被保険者制度をつくって、それまでの既得権の侵害にならないように配慮をしつつ、また、過度な給付水準にならないように、任意加入制度を廃止するといったようなことであったと理解しております。 しかし、それからもう既に30年近くたちまして、現在、３号の適用になっている人でもなぜ拠出もせずに基礎年金の給付が受給できるのかということについて、不思議に思っている人も多いのではないかと思っております。 先ほど申し上げた基礎年金制度導入前には国民年金の任意加入制度というものがあり、たしか６割ぐらいの専業主婦の方が加入されておられました。そういうことも考えますと、恐らく専業主婦の中でもそういった負担能力の高い人もたくさんいらっしゃるのではないかと考えられるところでございます。 したがいまして、短時間労働者への新たな適用拡大を、まずやって、そして、その後のに残った第３号につきましては基本的に免除者と同じ取り扱いとして２分の１の給付をし、別途任意の保険料を拠出した期間については２分の２の給付を行うという形の方法を採用することにしてはどうかと考えているところでございます。 この場合、激変緩和という観点から任意の保険料の水準につきましても、一定の経過期間を設けて毎年、水準を引き上げていくといったような配慮をしてはどうかと考えております。 また、３号分割の問題との関連でありますけれども、これにつきましては世帯単位を想定して設計されています年金というのは報酬比例の部分であろうと考えられますので、その部分については従来どおりの３号分割というものを継続する。しかしながら、個人単位の基礎年金につきましては、今、申し上げたような応分の負担をしていただくといったようなことで、必ずしも矛盾することではないのではないかと思っております。 以上でございます。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4058,2014-11-04,第27回,8,神野部会長,神野,どうもありがとうございました。 菊池委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4059,2014-11-04,第27回,9,菊池委員,菊池,産前産後のほうもあわせてということで。 ３号被保険者のあり方につきましては、2001年の検討会でおおよそ考え得る主な選択肢が提示されたにもかかわらず、いまだに制度改正がなされていないということで、いずれも一長一短がある案でなかなかすっきりした解決は難しいということだと思います。私個人としては将来的には年金分割の方向性がよろしいのではないかと思っておりまして、３年前の見直しの議論の中でも、次善の策として当時事務局から提示された夫婦共同負担の考え方を支持する意見を述べさせていただきました。 ただし、現在ここで議論しております制度改革の課題と方向性としては、将来的に目減りしていく年金額をどのように維持するか。あわせて低年金者対策をどうするかということが大きな問題となっています。 また、今回の資料で３号被保険者世帯の中には、収入がそれほど高くない世帯も多いことが明らかにされたように思います。こうした観点を踏まえた場合、先ほど山口先生から新しいプランが提示されましたのですが、従来の一律に給付調整をする考え方ではさらに低年金者をふやすことにつながりますので、そのままではとれないと思っております。 また、一律に負担調整する考え方も、まず事業主に負担を求める理由づけがなかなか難しい上に、定額の負担を求める場合に所得の高くない世帯にとって、総体的に重い負担となる可能性があることから、これもやや慎重にならざるを得ない。私も３号被保険者制度の問題性は理解しておりますが、現時点では被保険者範囲のさらなる拡大や130万円の基準の引き下げといった方策により、段階的に問題解決を図るのが現実的であろうと思っております。 ただ、事務局資料の最後の論点との関連で申しますと、１つは出産や育児に対する配慮をより重視するというのであれば、第３号被保険者のうち育児に従事する者に対して何か特別の配慮をするというような制度設計が可能であるのかどうか。これは２号との関係もあるのでなかなか難しいかなとも思うのですが、これは外国の法制度との兼ね合いも見ながら検討する価値はないのだろうかと思いました。 もう一つは、これはよりあり得る方策かもしれませんが、３号被保険者のうち世帯としての所得水準に配慮するのであれば、配偶者、つまり夫の所得に応じて特別の配慮をするということが、そういう制度設計が可能かどうかも検討してみる価値があるかもしれないと思いました。 １号被保険者の産前産後期間の保険料取り扱いですが、私は保険料免除の方向性には賛成であります。ただ、既存の免除制度の給付設計では年金水準の低下につながり、制度を導入する次世代育成支援という目的を推進するに当たってメリットが少ない。ですので、やはり厚生年金と同様に免除期間分の基礎年金を満額保障することが必要であると思います。 本来的には、こうした個別の特定の政策目的の達成のためにこそ、公費の財源を充てるべきという考え方も十分あり得るとは思うのですが、ただ、公費負担の限界を前提にせざるを得ないとすれば、国庫負担分を除く免除分の保険料負担を他の被保険者が分担することとならざるを得ない。この場合、１号被保険者間での保険料負担の分担ということが考えられますが、先ほど御説明があったように対象者の規模がかなり違うということもございますし、将来的な基礎年金制度の担い手をふやすという目的の限りにおいては、共通性を持つということで、部分的に被用者保険加入者との間でも負担を分かち合うという仕組みを考えることもできなくはないのかなと考えております。 長くなりましたが、以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4060,2014-11-04,第27回,10,神野部会長,神野,どうもありがとうございました。 ほかいかがでございましょうか。駒村委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4061,2014-11-04,第27回,11,駒村委員,駒村,前と後ろと２つありまして、今、菊池先生がおっしゃった産前産後のほうからコメントしたいと思いますけれども、私も１号の保険財政の中で何とか捻出できないかというふうに以前コメントして、ただ、今回財政検証で出てきて、国民年金の財政がかなり際どい状態になっているということで、それを捻出する余裕は多分ないとなってくると、あとは１号の中で対応するか、今、菊池さんがおっしゃった２号を含めて対応するかという判断になってくると思います。 １号だけでやるならば、これはある種、国民年金の１号に対する新たなサービスというふうに考えれば、保険料はその分だけ上乗せで全加入者、１号の中で割増しで、今、想定しているものよりも若干高い保険料にする。それは新しいサービスが加わったからというふうに考える。 菊池先生おっしゃったように、厚生年金との間でやりとりするとなると、これは１つロジックが飛ぶ話になりますので、ここは国民年金と厚生年金の財政の融通をどこまで認めていいのかということをきちんと整理しないと、これは国民年金の基礎年金でマクロ経済スライドはかなりきつい状態ですから、同じ理屈でいろいろなことができてくるということになりますので、ここはきちんと整理しておかなければ、厚生年金と国民年金の間の財政のやりとりというのはそう簡単ではないのではないかと思います。 ３号問題なのですけれども、この2001年の女性と年金の検討会、私も参加してもう13年もたっています。私は、このときから個人単位で考えるか世帯単位で考えるのか、応益負担で考えるのか応能負担で考えるのかによって答えが違うのです。全部の考え方を納得させる組み合わせは結局ないということで、私自身もある種の理想は年金・賃金分割の考え方。つまり夫婦は別にばらばらに働く時間や働く量を決めているわけではないので、世帯一体で意思決定はしているだろうということで、賃金収入というのは個人の所有権にはなっているわけですけれども、実際には夫婦一体で決めたものだろう。それを年金権にするときは個人単位に変換する。個人単位化するという考え方が年金分割で、これは今、２号、３号の組み合わせですけれども、本来ならば徹底的にやるならば２号、２号でも入れてしまうという考え方もある。このことによって３号問題と、遺族年金の問題が一気に解決できることになると思います。これは１案です。ただ私自身が当時から他にも２つの案持っていましたので。 第２案が、保険料調整で、これは１案と全く違うロジックなのですけれども、専業主婦世帯の２号にのみ割増保険料率、両立を高める。大体１％ぐらい当時だったら高くとれば、その分だけ逆に共働き世帯の保険料を調整できるということになりますので、両者で差をつけるという案もあります。資料に載っていますので議論したと思いますが、これは事業主負担をどうするのかということで、１つ障害があったかと思います。 ３つ目は、給付抑制方式としては３号期間を出産、育児あるいは介護を入れるかどうかですけれども、というような時期に限定してしまうというのもあるのかなと思いますが、これはなかなかいずれの案も一長一短ありますので、１回年金制度を切り変えてしまうとまたもとに戻すのが非常に難しくなりますので、適用拡大をまず王道ですから、それを徹底的にやった後に、究極的にはこの３号をどうするかという議論で、私は３つ案のいずれもありかと思って、どれを支持するか決めかねている状態ですけれども、以前から悩んでいました。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4062,2014-11-04,第27回,12,神野部会長,神野,どうもありがとうございました。 いかがでございますか。出口委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4063,2014-11-04,第27回,13,出口委員,出口,まず最初の３号被保険者の問題ですけれども、今、駒村先生がおっしゃったように、総論では３号被保険者をやめるということについては異論がない気がするのです。でも、具体的にどうするかということは今、先生の御指摘があったようにすごく難しい問題だと思います。 こういうふうに考えればどうかなと思うのですけれども、まず大原則としては３号被保険者はやはりやめる。これはおかしいということをまずはっきり言うということが必要だと思うのです。総論としては。 各論の問題としては、時間軸で解決できないかと思うのです。これを全部きれいにやろうと思うと、制度改正までまた時間がかかるかもしれない。ですから、まず短時間労働の被用者保険の適用拡大、月額5.8万円でしたか。そこまでをまず最優先でやってしまう。その次に、それと同時に今回教えていただいてすごく勉強になったのですが、44ページにある出産や育児の期間について保険料を納付した期間とみなすことで、給付を保障する例が諸外国にもありますが、これは今、日本でも子育て、出産、育児で人口をふやそうと進めている大きい政策にもすごく合致しているように思いますので、この被用者保険の適用拡大と、出産や育児のために離職したものに対する配慮措置の2つをを先にまとめて立法化してしまって、その中で多分、働き方が変わってくれば、配偶者が高所得であるものについてもまた変化があると思いますので、ここは２段階ロケットで対処してはどうか。大原則は３号被保険者はおかしいということを言い切る。 第１段階としては、被用者保険と出産育児のための配慮を先にやってしまう。それで２段階目で、この３号のある意味では神学論争になりそうなところは、その次の段階に置いておくという解決策がないのかなと。まとめて全部やってしまうのは理想なのですけれども、そのために被用者保険の拡大や出産、育児のために離職した者に対する配慮までが遅れてしまうのは余りよくないと思いますので、そういうふうに２段階で考える、時間軸を考えるというやり方をとっていただけたらどうかなと思いました。 もう一点の第１号被保険者の産前産後期間の保険料の取り扱いですけれども、もしこういうことをやるのであれば、原理原則をおろそかにすれば制度は歪んでくるので、１号被保険者の中で整理するというのが正論であるような気がするのですが、そうすると割増保険料しか具体的な方法はなくなってしまうように思います。でも、これはもともとの経緯を考えてみたら、今の御説明があったように政治的な判断で３党合意の中で問題提起をされたものですから、ここは整理の仕方としては例えば１号被保険者の中で整理をするという原理原則を踏まえた上で割増保険料をとるのか、あるいはこれは本当に政策優先なので、これは税金を使うのかというのは、ある意味では政治判断に属する問題かなと思った次第です。どちらがいいかということは原理原則から言えば割増だとは思うのですけれども、今の国民年金の納付状況等を考えれば、場合によっては政策判断で税金を使うということも、もしやるのであればあるのかなと思いました。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4064,2014-11-04,第27回,14,神野部会長,神野,どうもありがとうございます。 ほかいかがでしょうか。山本委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4065,2014-11-04,第27回,15,山本委員,山本,御報告いただきましてありがとうございました。 ３号被保険者の問題については、私も専門知識がございませんけれども、いずれにしても日本の持ってきた風土の中の１つに今、これは入っているようにも思われます。 しかし、先ほどの表の中で３号被保険者が、今の状況の中におきますと少しずつ減っているようにありますが、そんなにすごく減っているわけでもないなという感じがいたします。どうしてそうなるのかということですけれども、要するに今の育児あるいは子供たちを育てていく環境づくりが十分整っていないため、３号のほうに入っているのだと思います。そこに安住する気持ちなのか、それとも例の103万円、130万円の壁がはだかるものとなっていることに、余り大きく減らない要因があるのか、なぜ、専業主婦が割と少ない率で減っているのかという感じを受けました。 ですから、３割以上を占めているということは結構な構成比だと思われ、まだ日本人の考えの中に３号というものがかなり根付いた状況にあるなという感じがしますので、これがある程度ぐっと減って、本当に10％ぐらいになったというところで３号を取り払う議論をするべきだとおもいます。これから主婦の方が社会で労働していくほうへいざなっていく、そういう国家的命題を負っていると考えますと、なぜ主婦にとどまっているのかというところはもう少し掘り下げが必要で、対策を講ずるに当たってはそういうことの解決が主婦の労働参加を打流ことへの結果につながり、その時になって、最終的には保険も個人化をしていくという方へのベクトルが働いていくのかなという感じもいたしました。 産前産後の問題ですけれども、これについては世界各国の状況を今日の報告の中で拝見しましても、世界ではかなり導入されているようにも思われますが、資料１にありましたが、日本では産後になって元の職場への復帰率というものが意外と低いのです。割とパートタイマーとかそういう形でもって職場復帰している例がかなりあるやに拝察をしたのですけれども、実際、我々企業としては、育児休暇あるいは出産休暇をとった場合に、もとと同じ程度の職場に復帰させることが、これは私ども企業に対しては１つの義務づけみたいになっているのです。 我々中小企業ですと、働く場所というのはそう幾つもないですから、その方が例えば１年とか１年半とか、出産と育児のために仕事をあけた場合に、後の人を入れておかないと間に合わないわけです。そういうことが起きたときに、その方が１年半たって戻るというときに、戻る場所が実はないということにならないように、企業はちゃんと受け皿を、もとと同じグレードの仕事が与えられるように考えておかなければいけませんよと指導を受けているわけです。しかし、実際のところこれを見ると、出産後はパートさんに戻っているということが出ているとすると、日ごろ我々が受けているそういう話と不突合みたいなものを感じたので、それは１つ質問としてお願いしたいと思います。 基本的には適用拡大の問題、これも賛成でございますし、３号被保険者の問題、今の出産前と後の問題、これらについて、できればその間の年金が要するに保険料を納めていなくても将来補填されていくという方向性で、この問題が解決されていくことについては賛成をいたしたいと思います。 そのときの財源負担のあり方は、企業側の負担にもなってきます。企業負担が増えるから反対だということではないのですが、そこのところは企業負担が増えるということも鑑みながら、年金財政本体との絡みもありますが、保険料を支払うときの免税措置の拡大のようなことに、もう少し配慮をいただくとか、いろいろな形で企業側の負担を若干緩和していくことも十分加味していただいて、今回の大きな流れを進めていかれるような配慮も必要なのではないかと思った次第です。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4066,2014-11-04,第27回,16,神野部会長,神野,今の御質問といいますか、１つは減少率が停滞している話と、職場復帰をするときの２点ぐらいあったかと思いますが。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4067,2014-11-04,第27回,17,度山年金局長,度山年金,多少補足をさせていただきます。 今、御指摘があったように、育児休業法だったと思いますけれども、育児休業をとったということを理由にして、不利益な扱いをしてはいけないという規定が設けられておりますので、例えば育児休業をとったからペナルティ的に降格をするとか、仕事を与えないとか、そういう不利益な措置はかたく禁じられておりますので、そういう実態があったときには、恐らく各都道府県の均等室から指導を受けることになるかと思います。それはそのとおりです。 その上でということなのですが、第３号被保険者が減っているけれども、減少スピードがそれほど速くないことの裏返しで言うと、依然として継続就業が難しいという実態があるのだろうと思います。 特にいわゆる正規の労働者の場合には恐らく休業も保障されていますし、復職もかなりの確率でされていると思いますが、例えばこれがいわゆる非正規的な契約社員であったり派遣社員であったりと、一応、同様の権利保障はなされているとは言え、出産等を契機として雇用契約が終わってしまうようなことも実態としては多いように思います。あるいは短時間労働の場合には30時間を超えないと２号被保険者にもならないということもございます。 以前よりも継続就業への意識も高いし、一旦離れたとしても職場復帰をする意欲は高まってきているように思いますけれども、年金制度の目から見たらどうなるかという話で言うと、第３号にとどまっているような方が結構多くなっている。このように考えられるのではないかと思います。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4068,2014-11-04,第27回,18,神野部会長,神野,ありがとうございます。 ほかいかがでしょうか。諸星委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4069,2014-11-04,第27回,19,諸星委員,諸星,ありがとうございます。 第３号被保険者については、私は以前から年金部会で、急に減らすとか、なくすという方向は基本的には反対でした。と申しますのは、今日この資料の論点にもあるように、単純に専業主婦世帯を優遇しているというイメージだけ先に先行していて、第３号被保険者制度をなくすべきということが一般的に言われていたのですが、現実問題として第３号の中身を見てみますと、本日まとめていただいたように育児、介護を理由としており、先ほどからもっぱら出産、育児の話が中心となっていますが、介護も実際あるのです。それと本人が病気であって仕事ができないとか、さまざまな問題がありますから、一くくりにするのはどうかなと思いまして、基本的には第３号をなくすことについては反対と思っていました。 ただ、先ほど駒村先生もおっしゃっていたように具体的な議論からもう13年たっているのに、まだ全然進んでいない。その当時の議事録を見たのですけれども、本当に進んでいないなというのが現実で、申しわけありませんが、本気でやってくださったのかなという気持ちが出てしまい、済みません。 ただ、その当時と比べて雇用情勢がかなり変わってきています。実は３号被保険者の人たちの話を聞くと、まだ働かない専業主婦、ここの資料にもありますように、いわゆる御主人が高所得者の方々がどこか素敵な場所でランチをしていた、でも一方では、130万の調整をしつつ働く第３号の方はたくさんいらっしゃって、その人たちから言わせるとうらやましいというわけではないとは思いますが、適用拡大が進むと自分たちはこれから２号として保険料を払う、だけれども働かなくてもいい人がいる、いわゆる結婚の格差、本当にはっきり言うとそうなってしまうのです。それなのに同じ額がもらえるのはどうなのか。その点はどうにか正してほしいということを現場ではよく言われます。 ですので、論点２にありますように多様な属性を持っている人たちがまだまだいるということは、今回の資料でよくわかりましたので、第３号被保険者をなくす、方向的にはいいかもしれませんけれども、すぐなくすことは難しいということ。それと第３号被保険者の存在意義を改めて実態に近づけるような見直し、今回のような資料を提出していただいて、今後見直しをしたらいいのではないか最近よく感じます。 結局のところ、今回の被用者保険の適用拡大と共働き世代がふえているということからも、第３号被保険者は今は減らないというお話があったのですけれども、多分、将来的に減るようになることは間違いないと思われます。そうすると残る３号被保険者はどんな属性を持つものになるかで、これから検討をしていく必要があるのではないかと思いました。 もう一点、第１号被保険者の産前産後の保険料の取り扱いについてですが、ここの資料にありますように産前産後期間は母体保護の観点からの制度であれば、その間に休むということは、別に１号であっても２号であっても同じだと思います。その間の稼得収入を確認できる２号被保険者と異なって、１号の収入把握については正直、実態を調べるのは難しいと思います。ですので、保険料免除制度の利用が今回提案されていますけれども、最も妥当だと思います。 ただし、認める場合には多分、申請免除という形になりますので、資料にもありますように、免除の理由が出産に伴う休業であれば、世帯もしくは配偶者の所得要件は外すべきだと思いますし、免除申請に当たって基礎となる本人の前年度の所得。やはり出産は直前に休むということで、前年度は収入が高いということも考えられますので、免除自体で言えばそういったところも見ないということがここに書いてありますけれども、そこは別の方向で考えるべきではないかと思っています。でないとせっかく厚生年金で行われている産前産後期間の保険料免除と趣旨が同様にならない、あまり導入する意味がなくなってしまうのではないかと思います。 ただ、論点２の一方、給付を考えると、全額免除の場合はここにありますように２分の１の給付であるので、本来、厚生年金と趣旨を同じくするのであれば、制度内での持ち出しが出ることについては、財政が先ほどから各委員の皆様からお話があったことと絡むので、やはり慎重にならざるを得ないかなと思っております。 一方で仮に給付が２分の１のままであったとしてしまうと、申請免除をせずに世帯的にも余裕がある１号被保険者の中には、納付したほうがいいのではないかということを選択する方も出てくる。ここで１つの格差みたいなものが出てきてしまうということもあるので、その点も含めて検討したほうがいいのかなと思います。 では何がいいのかというのは、２分の１というのは変わらずとしても、給付について例えば全額免除のほかにも２分の１とか半額とか４分の３、４分の１といろいろ免除があるのですけれども、そこは若干国庫負担がふえています。ですので、そこを例えばここの期間についてはふやすというやり方も、１つの方法としてあるのかなということは思いました。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4070,2014-11-04,第27回,20,神野部会長,神野,どうもありがとうございました。 ほかいかがですか。武田委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4071,2014-11-04,第27回,21,武田委員,武田,"りがとうございます。 本日は大変詳細な資料を御説明いただき、ありがとうございました。 私は働き方に中立的な社会保障制度に関し、意見を２点申し上げたいと思います。 第1に、これらの改革はスピード感を持って進めていただきたいと考えております。 １つ目の理由は、先ほど駒村委員からございましたとおり、13年、議論されてきたということでございますので、議論は出尽くしている。つまり、その議論を踏まえて結論を我々が出すべきときに来ているのではないかと思います。 もう一つは、マクロ経済の状況でございます。直近９月の日銀短観の雇用判断DIを見ますと、非製造業では人手不足感が一段と強まっている状況でございます。製造業では以前、人手の過剰感を抱えていらっしゃったわけですが、直近の値を見ますと大企業、中堅企業、中小企業、全てで不足超になっております。これは本当に珍しいことでございます。 一方で、景気はどうかといいますと、増税後は回復がおくれている状況。つまりこれは何を意味しているかといいますと、需要要因ではなく供給側の要因、つまり労働力人口の減少の影響がじわじわ経済に影響してきていることを統計は示唆しております。したがって、かねてから申し上げている経済再生と社会保障制度の持続性、それを実現していくスピードは、以前に思っていたよりは急ぐ案件として我々は捉えたほうがいいという点が、マクロ経済の統計から見たときの事実でございます。 第２に、ではどのように改革を進めるかでございますが、私は先ほど出口委員がおっしゃられたように、共働き世帯が専業主婦世帯を上回っているなどの社会の構造変化を踏まえると、総論としては第３号被保険者制度を廃止する、つまりこの制度は少し時代に合わなくなってきていることを、まずは出発点に置くべきだと思います。 一方で、諸星委員が先ほどおっしゃられたように、今回の資料に基づくと多様な方々がいらっしゃるのは事実と思いますので、原則論として廃止することを前提に、そのための移行措置といいますか、進める順番をきちんと考えることが重要と思っております。 まず、検討に当たっての論点として45ページに整理いただいておりますけれども、まずは基本的に適用拡大を進めることについては、これは先ほど来、意見が出ているとおり、私も賛成でございます。 次に、同時に行っていただきたいのが、先ほども御意見で出ておりましたが、海外の事例として配偶者の立場として出産育児期間への配慮を行うのではなくて、個人の単位の設計としていくことがあるのではないかという点。 最後に、急に第３号全てを廃止するというのは難しいという御指摘はございますけれども、一方で現役世代の所得平均を上回っている世帯の方々に、税金を投入している。つまり消費税で皆さんからいただいている貴重な税金を使って、高所得世帯で保険料を納めていない配偶者に基礎年金を支給することは、合理的には説明できないと思います。これらを踏まえると、過渡的な移行期間として、少なくとも平均所得を上回る世帯の配偶者には、保険料をいただくことが移行措置として考えられると思います。 ただ、先ほど駒村先生から御指摘のありました労使折半の問題があると思いますので、労使折半ではなく、一人１万5,000円を御負担いただくというのが１つの案と考えます。その制度変更を適用拡大と同時に行えば、先ほども諸星委員がおっしゃられたように、適用拡大によって頑張って保険料を納める方からも納得が得られる形になるのではないかと考えましたので、意見として述べさせていただきました。 以上です。",https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4072,2014-11-04,第27回,22,神野部会長,神野,どうもありがとうございました。 ほかいかがでございましょうか。小塩委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4073,2014-11-04,第27回,23,小塩委員,小塩,皆さんからいろいろ御意見が出ておりまして、私からつけ加えることはあまりないのですが、私も第３号被保険者は基本的にできるだけ縮小していく必要があると思います。さらに、国民年金については、今までの財政検証の数字を見ましても、持続可能性が非常に難しくなっています。そのため、改革の方向としては第２号に第３号の人を移していって、それで国民年金の規模を実質的に縮小していくという方向しかないと思います。 その場合、オプション試算でも既に明らかになっていますが、適用拡大の(1)、(2)のうち、(1)の適用拡大だとほとんど効果がないという印象を強く持ちます。実際にやるのだったら(2)を考えていいと思います。所得代替率への影響を見ても差は歴然としています。ですから、働くことに対して年金を中立的にするということと、国民年金の持続可能性を高めるという二兎を追うのであれば、できるだけ被用者保険の適用拡大をすることを考えていいのではないかと思います。それが１つです。 それから、産前産後に対する支援のあり方です。先ほどから御議論がありますけれども、私は１号であろうが２号であろうが３号であろうが、皆さん同じような制度的なメリットを受けるべきだと思います。 国民年金の人たちは厚生年金の人に比べて難しいという御指摘がありました。まさしくそのとおりだと思いますが、それも現行の国民年金、厚生年金の枠組みを想定したらそうなるということだと思います。国民年金の規模を圧縮して、厚生年金の規模を拡大するという形の改革を思い切って進めると、国民年金の抱える問題も全体として解消しやすいのではないかと思います。 ですから、問題の多い国民年金、第３号をできるだけ縮小していって、全体で国民年金の問題あるいは第３号の問題を解消する。そういう改革がいいのではないかと思いました。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4074,2014-11-04,第27回,24,神野部会長,神野,どうもありがとうございました。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4075,2014-11-04,第27回,25,山口委員,山口,すみません、先ほど第１号の産前産後の話を言うのを忘れていましたが、今、小塩先生おっしゃったのと私も基本的に同じでございまして、１号、２号、３号であっても同じようなメリットを受けられるようにすべきだと思っております。 以前、当部会で発言したときには税財源等も含めてということを申し上げていたわけで、もちろんそれができれば一番いいわけですけれども、一方で年金制度側で何とかできないかということもあろうかと思います。その場合、国民年金の保険料を上げるという話は今の2004年改正で保険料を固定して、その中で運営していくという約束のもとで今、やっているわけですので、なかなか難しい面もあるのではないかと思います。小塩先生もおっしゃったように、国民年金を縮小していくようにすれば、その中で積立金はそのまま残りますから、それを活用していくといったような方法もあると思うのですけれども、私は先ほど菊池先生おっしゃったように、どちらかと言えば被用者年金から支援していくといったことをもっと目的限定的にして、こういう次世代支援とか、産業構造の変化といったような全体で考えなければいけないテーマに限って、被用者年金から国民年金を支援する。そのときに基礎年金への拠出金の算定方法を見直して、これは前回申し上げたのですけれども、これを変えまして、それで要するに国民年金から基礎年金に出す部分を減らして、そして被用者年金から出すものをふやすといったような算定方式の変更をするといったようなやり方の中で、実質的には国民年金の財産をふやすことになるのですけれども、何かできないものかと考えております。 ですから目的限定をして、その目的に限って被用者年金からの支援を行うといったような工夫があるのではないか。これは例の調整期間が今回の財政検証で非常に開いていますけれども、基礎年金と被用者年金の間で随分差がある。これを何とかそろえたいというときの方法論でもありまして、そういった議論についてはまた別途の機会にこの部会でやることもあるのではないかと思いますけれども、その中でこの問題もまた議論してはどうかと思っております。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4076,2014-11-04,第27回,26,神野部会長,神野,ありがとうございます。 御発言のない花井委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
4077,2014-11-04,第27回,27,花井委員,花井,１つは130万円問題ですが、私はこの制度ができたころからおかしいと思っていました。保険料を払わないで給付を受けるというのは、保険としてあり得ないと思っておりました。85年にこの制度が導入され約30年近くたつわけです。ただ、この間のさまざまな女性の就業状況等を見ますと、いまだに第１子出産で６割近い女性がやめている、そして、再就職した多くがパートタイマーにならざるを得ないという、非常にまだまだ差別的な雇用状況が解消されていない中で直ちに解消するというのはとても難しいだろうということはわかります。 それから、仮に負担をふやすということで、今の１号保険料を追加するにしても、現実的な家計の状況からは無理だろうと。そういうことを考えますと、やはり適用拡大で縮小していくしかないのではないかと思います。ただ、その縮小のスピードは上げていく必要があるだろうということです。 それから、１号被保険者の産前産後期間の扱いですが、なかなか難しい問題だと思います。説明を受けて、当初はとてもいいのではないかと思っていましたが、財源を考えるとやはり難しいと思います。 もし仮にやるのだったら、国民年金の財源の中でやることではないかと思います。被用者である２号から支援してはどうかということもあり得るかとは思うのですが、今、医療保険でも全面総報酬割を導入して浮いた国庫負担を国保に、というふうに、被用者というか、取りやすいところから持っていくということが安易に行われようとしているという危惧があります。仮に２号から何らかの支援を、といった場合に、今の段階で絶対反対とかそういうことではないですが、やはり慎重な検討をしていただきたいと思います。 もう一つ、３号のところで「出産や育児の期間について保険料を納付した期間とみなす」諸外国の例もあるのですが、この資料44ページのところ、みな「母親」という表現になっていますが、育児期間も「母親」と限定しているのでしょうか。これは質問です。出産は間違いなく女性にかかわる話なのですが、育児は育児休業を男女ともにとれることになっておりますので、それをこれから先の社会に向かっていくときに女性と限定していいのかというのが気になりました。,https://www.mhlw.go.jp/stf/shingi2/0000066292.html
